様式 2-5. (空調)熱源入力シート,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
①,②,③,蓄熱システム,,⑥,冷熱生成,,,,,,,,,,温熱生成,,,,,,,⑰,,
,,,④,⑤,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,冷却塔仕様,,,⑦,⑧,⑨,⑩,⑪,⑫,⑬,,,
,,,,,,,,,,,,,⑭,⑮,⑯,,,,,,,,,,
熱源群名称,冷暖同時供給有無,台数制御,運転モード,蓄熱容量,熱源機種,運転順位,台数,送水温度,定格冷却能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,定格冷却能力,冷却塔ファン消費電力,冷却水ポンプ消費電力,運転順位,台数,送水温度,定格加熱能力,主機　定格消費エネルギー,補機　定格消費電力,一次ポンプ定格消費電力,備考,,
,,,,,,,,,,,,,,,,,,,,,,,(機器表の記号,,
,,,,[MJ],,,[台],[℃],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],[kW/台],,[台],[℃],[kW/台],[kW/台],[kW/台],[kW/台],系統名等）,,
,(選択),(選択),(選択),,(選択),(選択),,,,,,,,,,(選択),,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Type List
AR1,無,有,,,吸収式冷凍機(一重二重併用形、都市ガス),1番目,1,7,703,639,6.6,7.5,1233,7.4,15,1番目,1,55,588,701,5.4,7.5,,,ウォータチリングユニット(空冷式)
,,,,,吸収式冷凍機(一重二重併用形、都市ガス),2番目,1,7,703,639,6.6,7.5,1233,7.4,15,2番目,1,55,588,701,5.4,7.5,,,ウォータチリングユニット(空冷式モジュール形)
EHP1-1O,無,無,,,パッケージエアコンディショナ(空冷式),1番目,1,,5.6,1.37,,,,,,1番目,1,,6.3,1.34,,,,,ウォータチリングユニット(水冷式)
EHP1-2O,無,無,,,パッケージエアコンディショナ(空冷式),1番目,1,,3.6,0.81,,,,,,1番目,1,,4,0.81,,,,,ウォータチリングユニット(水冷式地中熱タイプ1)
EHP1-3O,無,無,,,パッケージエアコンディショナ(空冷式),1番目,1,,3.6,0.81,,,,,,1番目,1,,4,0.81,,,,,ウォータチリングユニット(水冷式地中熱タイプ2)
EHP1-4O,無,無,,,パッケージエアコンディショナ(空冷式),1番目,1,,3.6,0.81,,,,,,1番目,1,,4,0.81,,,,,ウォータチリングユニット(水冷式地中熱タイプ3)
,,,,,,,,,,,,,,,,,,,,,,,,,ウォータチリングユニット(水冷式地中熱タイプ4)
,,,,,,,,,,,,,,,,,,,,,,,,,ウォータチリングユニット(水冷式地中熱タイプ5)
,,,,,,,,,,,,,,,,,,,,,,,,,スクリュー冷凍機
,,,,,,,,,,,,,,,,,,,,,,,,,ターボ冷凍機
,,,,,,,,,,,,,,,,,,,,,,,,,インバータターボ冷凍機
,,,,,,,,,,,,,,,,,,,,,,,,,ブラインターボ冷凍機(蓄熱時)
,,,,,,,,,,,,,,,,,,,,,,,,,ブラインターボ冷凍機(追掛時)
,,,,,,,,,,,,,,,,,,,,,,,,,ウォータチリングユニット(空冷式氷蓄熱用)
,,,,,,,,,,,,,,,,,,,,,,,,,ウォータチリングユニット(空冷式モジュール形氷蓄熱用)
,,,,,,,,,,,,,,,,,,,,,,,,,スクリュー冷凍機(氷蓄熱用)
,,,,,,,,,,,,,,,,,,,,,,,,,吸収式冷凍機(都市ガス)
,,,,,,,,,,,,,,,,,,,,,,,,,吸収式冷凍機(冷却水変流量、都市ガス)
,,,,,,,,,,,,,,,,,,,,,,,,,吸収式冷凍機(LPG)
,,,,,,,,,,,,,,,,,,,,,,,,,吸収式冷凍機(冷却水変流量、LPG)
,,,,,,,,,,,,,,,,,,,,,,,,,吸収式冷凍機(重油)
,,,,,,,,,,,,,,,,,,,,,,,,,吸収式冷凍機(冷却水変流量、重油)
,,,,,,,,,,,,,,,,,,,,,,,,,吸収式冷凍機(灯油)
,,,,,,,,,,,,,,,,,,,,,,,,,吸収式冷凍機(冷却水変流量、灯油)
,,,,,,,,,,,,,,,,,,,,,,,,,吸収式冷凍機(蒸気)
,,,,,,,,,,,,,,,,,,,,,,,,,吸収式冷凍機(冷却水変流量、蒸気)
,,,,,,,,,,,,,,,,,,,,,,,,,吸収式冷凍機(温水)
,,,,,,,,,,,,,,,,,,,,,,,,,吸収式冷凍機(一重二重併用形、都市ガス)
,,,,,,,,,,,,,,,,,,,,,,,,,吸収式冷凍機(一重二重併用形、冷却水変流量、都市ガス)
,,,,,,,,,,,,,,,,,,,,,,,,,吸収式冷凍機(一重二重併用形、LPG)
,,,,,,,,,,,,,,,,,,,,,,,,,吸収式冷凍機(一重二重併用形、冷却水変流量、LPG)
,,,,,,,,,,,,,,,,,,,,,,,,,吸収式冷凍機(一重二重併用形、蒸気)
,,,,,,,,,,,,,,,,,,,,,,,,,吸収式冷凍機(一重二重併用形、冷却水変流量、蒸気)
