様式 2-2. (空調)外壁構成入力シート,,,,,,,,,,,
,,,,,,　　　　　　　　　※ 建材名称は室内側から記入,,,,,
①,②,③,④,⑤,⑥,⑦,,,,,
,,,,,,,,,,,
外壁名称,壁の種類,熱貫流率,建材番号,建材名称,厚み,備考,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,[W/㎡K],,,[mm],,,,,,
,(選択),,(選択),(選択),,,,,,,
,,,,,,,,,,Material Number List,Material Name List
R1,外壁,,,室内側,,,,1,R1,1,鋼
,,,70,ロックウール化粧吸音板,12,,,,W1,2,アルミニウム
,,,62,せっこうボード,10,,,,FG1,3,銅
,,,302,非密閉中空層,,,,,,4,ステンレス鋼
,,,41,コンクリート,150,,,,,21,岩石
,,,47,セメント・モルタル,15,,,,,22,土壌
,,,103,アスファルト類,5,,,,,41,コンクリート
,,,47,セメント・モルタル,15,,,,,42,軽量コンクリート(軽量1種)
,,,181,押出法ポリスチレンフォーム　保温板　1種,50,,,,,43,軽量コンクリート(軽量2種)
,,,41,コンクリート,60,,,,,44,気泡コンクリート(ALC)
,,,,室外側,,,,,,45,コンクリートブロック(重量)
W1,外壁,,,室内側,,,,2,,46,コンクリートブロック(軽量)
,,,62,せっこうボード,8,,,,,47,セメント・モルタル
,,,302,非密閉中空層,,,,,,48,押出成型セメント板
,,,181,押出法ポリスチレンフォーム　保温板　1種,25,,,,,61,せっこうプラスター
,,,41,コンクリート,150,,,,,62,せっこうボード
,,,47,セメント・モルタル,25,,,,,63,硬質せっこうボード
,,,67,タイル,10,,,,,64,しっくい
,,,,,,,,,,65,土壁
,,,,,,,,,,66,ガラス
,,,,,,,,,,67,タイル
,,,,室外側,,,,,,68,れんが
FG1,接地壁,,,室内側,,,,3,,69,かわら
,,,101,ビニル系床材  ,3,,,,,70,ロックウール化粧吸音板
,,,47,セメント・モルタル,27,,,,,71,火山性ガラス質複合板
,,,41,コンクリート,150,,,,,72,ケイ酸カルシウム板　0.8mm
,,,,,,,,,,73,ケイ酸カルシウム板　1.0mm
,,,,,,,,,,81,天然木材
,,,,,,,,,,82,合板
,,,,,,,,,,83,タタミボード
,,,,,,,,,,84,シージングボード
,,,,,,,,,,85,Ａ級インシュレーションボード
,,,,室外側,,,,,,86,パーティクルボード
,,,,室内側,,,,,,87,木毛セメント板
,,,,,,,,,,88,木片セメント板
,,,,,,,,,,89,ハードファイバーボード(ハードボード)
,,,,,,,,,,90,ミディアムデンシティファイバーボード(MDF)
,,,,,,,,,,101,ビニル系床材
,,,,,,,,,,102,FRP
,,,,,,,,,,103,アスファルト類
,,,,,,,,,,104,畳床
,,,,,,,,,,105,建材畳床(Ⅲ型50mm厚)
,,,,,,,,,,106,"建材畳床(K,N型50mm厚)"
,,,,室外側,,,,,,107,カーペット類
,,,,室内側,,,,,,121,グラスウール断熱材　10K相当
,,,,,,,,,,122,グラスウール断熱材　16K相当
,,,,,,,,,,123,グラスウール断熱材　20K相当
,,,,,,,,,,124,グラスウール断熱材　24K相当
,,,,,,,,,,125,グラスウール断熱材　32K相当
,,,,,,,,,,126,高性能グラスウール断熱材　16K相当
,,,,,,,,,,127,高性能グラスウール断熱材　24K相当
,,,,,,,,,,128,高性能グラスウール断熱材　32K相当
,,,,,,,,,,129,高性能グラスウール断熱材　40K相当
,,,,,,,,,,130,高性能グラスウール断熱材　48K相当
,,,,室外側,,,,,,131,吹込み用グラスウール　13K相当
,,,,室内側,,,,,,132,吹込み用グラスウール　18K相当
,,,,,,,,,,133,吹込み用グラスウール　30K相当
,,,,,,,,,,134,吹込み用グラスウール　35K相当
,,,,,,,,,,141,吹付けロックウール
,,,,,,,,,,142,ロックウール断熱材(マット)
,,,,,,,,,,143,ロックウール断熱材(フェルト)
,,,,,,,,,,144,ロックウール断熱材(ボード)
,,,,,,,,,,145,吹込み用ロックウール　25K相当
,,,,,,,,,,146,吹込み用ロックウール　65K相当
,,,,,,,,,,161,吹込み用セルローズファイバー　25K
,,,,室外側,,,,,,162,吹込み用セルローズファイバー　45K
,,,,室内側,,,,,,163,吹込み用セルローズファイバー　55K
,,,,,,,,,,181,押出法ポリスチレンフォーム　保温板　1種
,,,,,,,,,,182,押出法ポリスチレンフォーム　保温板　2種
